"","species","latitude","longitude"
"101","Callitriche cophocarpa Sendtner",59.4319359325056,13.2556804835832
"102","Callitriche cophocarpa Sendtner",57.5777820832659,14.8858849692482
"103","Callitriche cophocarpa Sendtner",58.8953829,14.2289763
"104","Callitriche cophocarpa Sendtner",58.8999469,16.230383
"105","Callitriche cophocarpa Sendtner",57.1397929,15.84073
"106","Callitriche cophocarpa Sendtner",57.281792,16.456004
"107","Callitriche cophocarpa Sendtner",58.288608,14.929587
"108","Callitriche cophocarpa Sendtner",56.2294449,12.846178
"109","Callitriche cophocarpa Sendtner",55.59035,13.3094
"110","Callitriche cophocarpa Sendtner",58.0772839,14.084146
"111","Callitriche cophocarpa Sendtner",58.2750539,16.632307
"112","Callitriche cophocarpa Sendtner",46.73583333,15.86944444
"113","Callitriche cophocarpa Sendtner",58.9058119,16.248493
"114","Callitriche cophocarpa Sendtner",57.895561,13.262987
"115","Callitriche cophocarpa Sendtner",58.562311,14.161788
"116","Callitriche cophocarpa Sendtner",56.7566418,14.5781648
"117","Callitriche cophocarpa Sendtner",58.417009,15.7122259
"118","Callitriche cophocarpa Sendtner",57.6609510059324,16.3077977943151
"119","Callitriche cophocarpa Sendtner",59.43194,13.25568
"120","Callitriche cophocarpa Sendtner",56.696972,13.6063949
"121","Callitriche cophocarpa Sendtner",59.858145,17.6340688
"122","Callitriche cophocarpa Sendtner",58.9566069,16.40745
"123","Callitriche cophocarpa Sendtner",57.4518729,16.552295
"124","Callitriche cophocarpa Sendtner",58.437755,14.410747
"125","Callitriche cophocarpa Sendtner",58.9338869,16.38969
"126","Callitriche cophocarpa Sendtner",56.4394309,13.164586
"127","Callitriche cophocarpa Sendtner",57.4648408,16.5460818
"128","Callitriche cophocarpa Sendtner",58.076419,13.476041
"129","Callitriche cophocarpa Sendtner",58.8892219,16.400731
"130","Callitriche cophocarpa Sendtner",58.885927,14.264393
"131","Callitriche cophocarpa Sendtner",58.9324129,16.398
"132","Callitriche cophocarpa Sendtner",56.4819269,14.083823
"133","Callitriche cophocarpa Sendtner",58.3763409,14.895702
"134","Callitriche cophocarpa Sendtner",58.909365,17.568891
"135","Callitriche cophocarpa Sendtner",58.895001,16.141684
"136","Callitriche cophocarpa Sendtner",57.73241,16.6352809
"137","Callitriche cophocarpa Sendtner",58.894086,16.147397
"138","Callitriche cophocarpa Sendtner",59.220703,18.129718
"139","Callitriche cophocarpa Sendtner",58.375055,15.334916
"140","Callitriche cophocarpa Sendtner",58.1954739,15.422456
"141","Callitriche cophocarpa Sendtner",57.0881979,16.129332
"142","Callitriche cophocarpa Sendtner",58.946516,16.333276
"143","Callitriche cophocarpa Sendtner",59.858145,17.6340688
"144","Callitriche cophocarpa Sendtner",57.883938,15.1624029
"145","Callitriche cophocarpa Sendtner",58.894337,16.243669
"146","Callitriche cophocarpa Sendtner",58.820394,16.3310129
"147","Callitriche cophocarpa Sendtner",57.772745,14.144774
"148","Callitriche cophocarpa Sendtner",57.881512,15.723401
"149","Callitriche cophocarpa Sendtner",59.809176,17.668227
"150","Callitriche cophocarpa Sendtner",57.2267829,12.215381
"151","Callitriche cophocarpa Sendtner",58.385435,14.388882
"152","Callitriche cophocarpa Sendtner",59.2198709,18.073951
"153","Callitriche cophocarpa Sendtner",58.372506,14.068075
"154","Callitriche cophocarpa Sendtner",56.6910590443664,16.3274720819791
"155","Callitriche cophocarpa Sendtner",57.2074798,15.8543671
"156","Callitriche cophocarpa Sendtner",59.5550819,16.7972199
"157","Callitriche cophocarpa Sendtner",58.909857,16.1243009
"158","Callitriche cophocarpa Sendtner",58.0780869,14.077328
"159","Callitriche cophocarpa Sendtner",56.6613339,16.282872
"160","Callitriche cophocarpa Sendtner",57.895561,13.262987
"161","Callitriche cophocarpa Sendtner",59.794283,17.3695729
"162","Callitriche cophocarpa Sendtner",58.2839049,14.894022
"163","Callitriche cophocarpa Sendtner",58.342911,13.943147
"164","Callitriche cophocarpa Sendtner",60.9985969,15.218323
"165","Callitriche cophocarpa Sendtner",59.792579,17.9760789
"166","Callitriche cophocarpa Sendtner",57.739713,15.165395
"167","Callitriche cophocarpa Sendtner",57.8998089,15.181753
"168","Callitriche cophocarpa Sendtner",57.762568,15.409431
"169","Callitriche cophocarpa Sendtner",58.375686,15.5056049
"170","Callitriche cophocarpa Sendtner",57.9278389,14.123385
"171","Callitriche cophocarpa Sendtner",58.684348,14.087066
"172","Callitriche cophocarpa Sendtner",58.9153069,16.097442
"173","Callitriche cophocarpa Sendtner",55.5898809,13.30864
"174","Callitriche cophocarpa Sendtner",58.7578359,15.842509
"175","Callitriche cophocarpa Sendtner",57.8315389,12.245169
"176","Callitriche cophocarpa Sendtner",58.028429,14.0577179
